epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.2822,4.09292,5.4871,2.35636,0,0,0,0,3.35411,5.04075,1.87502,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,6.61994,3.75849,5.21276,2.17612,0,0,0,0,3.02001,5.44282,1.85425,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634
3,8.63302,3.57994,4.89119,2.06369,0,0,0,0,3.73223,5.57562,1.86847,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704
4,10.5037,3.61283,4.81423,2.07043,0,0,0,0,3.19509,5.22956,1.72952,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921
5,12.5448,3.32763,4.64901,1.87973,0.00015,0.02941,8e-05,3e-05,3.00427,5.40545,1.50624,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152
6,14.4189,3.21654,4.52997,1.66379,0.00027,0.05882,0.00014,5e-05,2.5926,4.83266,1.29058,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753
7,16.1904,2.96039,4.36974,1.58747,0.00229,0.5,0.00173,0.00063,2.52119,4.44979,1.23603,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634
8,17.9883,2.59152,4.06766,1.41508,0.00389,0.85294,0.00365,0.00116,2.39441,4.1861,1.18426,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159
9,19.7743,2.41337,3.78542,1.34286,0.00389,0.88235,0.00402,0.00124,2.35432,4.02835,1.15287,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328
10,21.418,2.37499,3.56646,1.34189,0.0034,0.85294,0.00498,0.00158,2.24051,3.77404,1.1188,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214
11,23.0595,2.29184,3.19793,1.26159,0.0027,0.76471,0.33053,0.09061,2.15546,3.15086,1.10457,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596
12,24.8539,2.29062,2.78631,1.29427,0.77341,0.52941,0.54829,0.16238,2.06552,2.00061,1.11912,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,26.5079,2.32547,2.68325,1.31058,0.73989,0.58572,0.59335,0.21225,1.73106,1.82572,1.02448,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,28.1867,2.31021,2.39467,1.32006,0.71694,0.61765,0.65698,0.24094,1.66448,1.83411,1.02538,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,29.8423,2.47456,2.60495,1.27847,0.63574,0.67647,0.63231,0.25264,1.67125,1.6182,1.02667,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,31.6313,2.30931,2.34869,1.26529,0.87495,0.61737,0.74031,0.22492,1.86753,1.8276,1.04266,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,33.2577,2.21013,2.26175,1.2677,0.55075,0.67647,0.62203,0.20924,1.74084,1.52833,1.04546,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,34.8879,2.15418,2.17938,1.20567,0.60745,0.58824,0.60925,0.19983,1.72734,1.47031,1.03016,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,36.5308,2.15011,1.91983,1.1731,0.70356,0.55882,0.58948,0.21285,1.64323,1.47153,1.00579,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,38.3222,2.24646,2.24386,1.23086,0.72066,0.70588,0.70362,0.22936,1.79542,1.57147,0.99099,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,39.9529,2.1348,2.02828,1.20632,0.72094,0.55882,0.61153,0.21716,1.86539,1.63439,1.02351,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,41.6035,2.09102,1.94666,1.16032,0.65838,0.55882,0.61082,0.20643,1.71288,1.61982,1.02782,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,43.2512,2.117,1.92571,1.21488,0.72676,0.58824,0.66848,0.2257,1.71211,1.5415,0.98497,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
