epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.10295,3.12797,3.47371,1.68796,0.00041,0.08824,0.00028,9e-05,3.68315,4.5627,1.92907,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,5.37297,3.07514,3.40119,1.63753,0.65213,0.02941,0.02549,0.0026,3.20257,4.60735,1.76697,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
3,7.34055,2.85616,3.08397,1.57347,0.61138,0.02941,0.02593,0.00522,3.07273,4.50258,1.71119,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
4,9.20038,2.79296,3.15248,1.50748,0.84954,0.02941,0.02637,0.00796,3.29972,4.11848,1.76428,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842
5,11.1869,2.75063,3.09463,1.55302,0.82715,0.02941,0.03175,0.00931,3.17393,4.05861,1.70602,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304
6,13.168,2.87609,2.9875,1.52065,0.49223,0.02941,0.0318,0.00663,3.54648,3.20611,1.82584,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506
7,14.8943,2.76196,2.98108,1.47126,0.04284,0.08824,0.0329,0.00816,3.51326,3.03162,1.81986,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269
8,16.6225,2.68289,2.99244,1.5422,0.08062,0.14706,0.05818,0.01474,3.62505,3.2785,1.90057,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319
9,18.3761,2.50659,2.71639,1.39557,0.08286,0.11765,0.06435,0.01424,3.47586,3.37361,1.79255,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656
10,19.9885,2.5842,2.72546,1.45686,0.25839,0.26471,0.13504,0.02775,3.25763,2.96651,1.73507,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628
11,21.6397,2.54431,2.65151,1.432,0.20867,0.20588,0.09652,0.01818,3.39383,3.32452,1.72274,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192
12,23.3996,2.58138,2.50834,1.43797,0.23958,0.23529,0.15349,0.04009,2.95056,2.67284,1.53193,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,25.0194,2.58769,2.51393,1.46838,0.2992,0.35294,0.18511,0.04591,3.02655,2.69117,1.6045,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
