epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.82173,3.94625,3.31551,1.5239,0.43967,0.02941,0.02689,0.00623,2.90758,2.39339,1.00614,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,4.78515,3.92964,3.09697,1.47371,0.32849,0.02941,0.01833,0.00329,2.85481,2.2883,0.9868,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634
3,6.29765,3.57391,3.09274,1.38235,0.4539,0.02941,0.03013,0.00576,2.67663,2.20495,0.88993,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704
4,7.66581,3.10048,2.57347,1.22913,0.08447,0.08824,0.05937,0.01049,2.76583,2.19592,0.89578,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921
5,9.23423,3.00425,2.48005,1.15538,0.07783,0.17647,0.03691,0.00802,2.85673,2.17302,0.9163,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152
6,10.6243,3.12609,2.35631,1.13148,0.09294,0.29412,0.05957,0.0113,2.85166,3.48945,0.96012,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753
7,12.1564,2.96899,2.31771,1.07526,0.28991,0.23529,0.12241,0.01736,2.98517,4.05838,1.0305,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634
8,13.5174,2.77554,2.16706,1.07878,0.2464,0.20588,0.11364,0.0175,3.05757,3.90891,1.15059,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159
9,14.8889,2.80696,2.03809,1.0394,0.22073,0.18346,0.10411,0.01964,3.19603,3.35117,1.16323,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328
10,16.0213,2.71396,1.98544,1.04151,0.23325,0.23529,0.11296,0.02425,3.157,2.9968,1.11395,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214
11,17.1662,2.66152,1.93513,1.031,0.19524,0.26471,0.12767,0.0329,2.73598,2.45134,1.15501,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596
12,18.4596,2.72957,1.96375,1.02205,0.20863,0.20588,0.10496,0.02531,2.95896,2.52383,1.1274,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
